Day,Desc,Short Desc,High-Low,Temp
Today,"Today: Sunny, with a high near 71. West wind 6 to 14 mph, with gusts as high as 21 mph. ",Sunny,High,71 °F
Tonight,"Tonight: Increasing clouds, with a low around 57. West wind 7 to 13 mph, with gusts as high as 18 mph. ",IncreasingClouds,Low,57 °F
Sunday,"Sunday: Partly sunny, then gradually becoming sunny, with a high near 73. West southwest wind 6 to 10 mph. ",BecomingSunny,High,73 °F
SundayNight,"Sunday Night: Clear, with a low around 57. West southwest wind 6 to 13 mph, with gusts as high as 18 mph. ",Clear,Low,57 °F
Monday,"Monday: Sunny, with a high near 74. West southwest wind 6 to 11 mph, with gusts as high as 18 mph. ",Sunny,High,74 °F
MondayNight,"Monday Night: Partly cloudy, with a low around 57.",Partly Cloudy,Low,57 °F
Tuesday,"Tuesday: Mostly sunny, with a high near 69.",Mostly Sunny,High,69 °F
TuesdayNight,"Tuesday Night: Mostly clear, with a low around 57.",Mostly Clear,Low,57 °F
Wednesday,"Wednesday: Sunny, with a high near 72.",Sunny,High,72 °F
